id_x,cliente_id,data_pedido,status,valor_total,canal_venda,cupom_desconto,id_y,nome,email,cidade,estado,data_cadastro,segmento,canal_aquisicao
14,1094,2023-01-17,cancelado,8316.59,site,sim,1094,Caio Azevedo,caio.azevedo6@gmail.com,Cuiabá,MT,2023-04-30,B2B,redes_sociais
15,565,2024-06-09,entregue,1924.63,app,não,565,Flávia Nascimento,flávia.nascimento693@terra.com.br,Feira de Santana,BA,2023-06-02,B2C,orgânico
16,1602,2024-06-27,entregue,202.97,app,sim,1602,Yasmin Lopes,yasmin.lopes524@hotmail.com,Mogi das Cruzes,SP,2023-07-25,B2C,indicação
17,557,2024-01-03,em_transito,1046.62,marketplace,sim,557,Zacarias Oliveira,zacarias.oliveira873@gmail.com,Porto Alegre,RS,2024-11-10,B2C,indicação
18,1411,2023-01-18,entregue,263.91,site,não,1411,Hanna Freitas,hanna.freitas725@uol.com.br,Macapá,AP,2023-09-23,B2C,paid_search
19,2260,2023-04-20,cancelado,1064.12,marketplace,sim,2260,Gabriel Gomes,gabriel.gomes229@uol.com.br,São Gonçalo,RJ,2023-09-12,B2C,paid_search
20,2587,2023-12-21,entregue,1673.93,marketplace,não,2587,Amanda Cunha,amanda.cunha937@uol.com.br,Aparecida de Goiânia,GO,2024-01-13,B2C,indicação
21,130,2023-11-20,entregue,683.32,site,não,130,Wanessa Pinto,wanessa.pinto841@yahoo.com.br,São Paulo,SP,2023-10-17,B2C,redes_sociais
22,524,2024-06-18,entregue,103.17,site,não,524,Caio Moreira,caio.moreira471@yahoo.com.br,Natal,RN,2023-08-12,B2C,redes_sociais
23,720,2023-05-11,cancelado,2315.32,marketplace,não,720,Yara Souza,yara.souza224@terra.com.br,Recife,PE,2023-08-30,B2C,indicação
24,513,2023-11-29,em_transito,1796.87,app,sim,513,Otávio Lima,otávio.lima998@yahoo.com.br,Aparecida de Goiânia,GO,2023-11-25,B2C,redes_sociais
25,1783,2023-08-18,em_transito,1892.18,marketplace,sim,1783,Mariana Lima,mariana.lima680@hotmail.com,Ribeirão Preto,SP,2023-02-25,B2C,indicação
26,1252,2023-05-28,entregue,570.34,app,não,1252,Natália Pinto,natália.pinto474@gmail.com,Rio de Janeiro,RJ,2023-03-16,B2C,redes_sociais
27,104,2023-11-03,entregue,1806.37,app,não,104,Gabriel Silva,gabriel.silva292@uol.com.br,Florianópolis,SC,2024-05-05,B2C,paid_search
28,2998,2023-06-02,entregue,8595.85,app,não,2998,Amanda Castro,amanda.castro395@outlook.com,Manaus,AM,2024-10-28,B2B,indicação
29,1679,2023-06-17,cancelado,1881.15,app,sim,1679,Caio Nascimento,caio.nascimento412@hotmail.com,Diadema,SP,2023-09-05,B2C,orgânico
30,751,2023-01-04,entregue,1063.21,marketplace,não,751,Flávia Ribeiro,flávia.ribeiro846@outlook.com,Betim,MG,2023-04-08,B2C,indicação
31,2863,2023-06-06,entregue,2318.7,site,não,2863,Hanna Ribeiro,hanna.ribeiro622@outlook.com,Serra,ES,2023-05-04,B2C,paid_search
32,1675,2024-03-28,entregue,1570.16,marketplace,não,1675,Thiago Dias,thiago.dias121@yahoo.com.br,Curitiba,PR,2024-02-23,B2C,paid_search
33,2714,2023-03-03,entregue,67.16,marketplace,não,2714,Carlos Araújo,carlos.araujo16@uol.com.br,Contagem,MG,2024-07-29,B2C,redes_sociais
34,2091,2024-08-02,em_transito,2434.68,app,sim,2091,Olívia Vieira,olivia.vieira241@hotmail.com,Macapá,AP,2024-05-21,B2C,redes_sociais
35,1114,2023-11-11,entregue,6579.5,site,não,1114,Vera Pinto,vera.pinto686@uol.com.br,Manaus,AM,2024-12-24,B2B,redes_sociais
36,625,2023-06-04,entregue,1603.88,site,não,625,Igor Azevedo,igor.azevedo270@hotmail.com,Fortaleza,CE,2023-03-19,B2C,orgânico
37,1460,2023-09-20,entregue,1017.18,marketplace,não,1460,Zacarias Barbosa,zacarias.barbosa565@hotmail.com,Campinas,SP,2024-10-15,B2C,paid_search
38,2633,2023-05-07,entregue,9380.66,site,não,2633,Bruno Fernandes,bruno.fernandes524@outlook.com,João Pessoa,PB,2023-06-05,B2B,orgânico
39,329,2024-04-19,entregue,1681.66,site,sim,329,Ursula Gomes,ursula.gomes937@outlook.com,Salvador,BA,2024-07-29,B2C,redes_sociais
40,2774,2023-10-22,entregue,471.56,marketplace,sim,2774,Flávia Sousa,flávia.sousa797@gmail.com,Maceió,AL,2024-05-05,B2C,paid_search
41,2404,2024-07-03,em_transito,1030.72,site,não,2404,Patrícia Cavalcanti,patricia.cavalcanti513@terra.com.br,Macapá,AP,2023-07-02,B2C,indicação
42,403,2023-02-14,entregue,2043.49,site,não,403,Kleber Figueiredo,kleber.figueiredo804@hotmail.com,São Luís,MA,2023-07-31,B2C,indicação
43,1143,2023-11-24,entregue,1779.34,site,sim,1143,Helena Andrade,helena.andrade384@yahoo.com.br,João Pessoa,PB,2023-10-29,B2C,paid_search
44,2163,2023-09-03,entregue,1792.42,app,não,2163,Fernanda Lopes,fernanda.lopes851@terra.com.br,Manaus,AM,2024-04-10,B2C,indicação
45,217,2023-07-27,entregue,1756.2,site,sim,217,Diana Figueiredo,diana.figueiredo771@yahoo.com.br,Aparecida de Goiânia,GO,2023-08-28,B2C,indicação
46,2426,2023-02-20,entregue,711.78,site,não,2426,Yara Moreira,yara.moreira906@outlook.com,Ananindeua,PA,2023-04-01,B2C,orgânico
47,1945,2023-09-04,cancelado,7697.54,site,sim,1945,Igor Neves,igor.neves744@gmail.com,Santos,SP,2024-11-19,B2B,redes_sociais
48,2672,2023-02-16,entregue,9639.94,marketplace,não,2672,Flávia Cunha,flávia.cunha131@uol.com.br,Campinas,SP,2023-03-23,B2B,indicação
49,1454,2024-09-23,cancelado,668.18,site,não,1454,Mariana Pinto,mariana.pinto727@yahoo.com.br,São Gonçalo,RJ,2024-03-09,B2C,indicação
50,2606,2024-06-20,devolvido,13858.34,app,não,2606,Bruno Sousa,bruno.sousa242@uol.com.br,Mogi das Cruzes,SP,2024-07-19,B2B,indicação
51,1793,2023-12-12,cancelado,324.87,marketplace,não,1793,Marcos Oliveira,marcos.oliveira310@hotmail.com,Londrina,PR,2023-04-06,B2C,paid_search
52,2165,2024-03-30,cancelado,7339.27,marketplace,não,2165,Natália Figueiredo,natália.figueiredo98@outlook.com,São Paulo,SP,2024-12-01,B2B,orgânico
53,231,2024-04-24,em_transito,291.29,site,sim,231,Zélia Castro,zelia.castro651@gmail.com,Feira de Santana,BA,2024-01-18,B2C,orgânico
54,455,2024-04-26,entregue,530.92,site,não,455,Beatriz Pereira,beatriz.pereira367@uol.com.br,São Luís,MA,2024-04-07,B2C,indicação
55,2596,2023-09-15,entregue,2248.91,app,sim,2596,Gabriel Lopes,gabriel.lopes474@gmail.com,São Gonçalo,RJ,2023-12-07,B2B,orgânico
56,929,2023-11-29,entregue,291.92,app,não,929,Flávia Alves,flávia.alves508@outlook.com,Maceió,AL,2023-03-27,B2C,orgânico
57,1175,2024-11-20,entregue,899.19,marketplace,não,1175,Olívia Nascimento,olivia.nascimento182@outlook.com,São Paulo,SP,2023-05-08,B2C,paid_search
58,61,2023-09-21,devolvido,509.56,marketplace,não,61,Xênia Barbosa,xenia.barbosa317@uol.com.br,Joinville,SC,2023-12-01,B2C,indicação
59,1619,2023-06-16,entregue,123.99,site,não,1619,Ana Andrade,ana.andrade582@outlook.com,Mogi das Cruzes,SP,2023-03-15,B2C,redes_sociais
60,1567,2024-04-11,entregue,1196.23,app,não,1567,Bruno Ribeiro,bruno.ribeiro903@yahoo.com.br,Fortaleza,CE,2023-06-24,B2C,orgânico
61,2797,2024-03-23,entregue,4065.66,marketplace,não,2797,Patrícia Castro,patricia.castro784@uol.com.br,Ananindeua,PA,2023-08-10,B2B,redes_sociais
62,1494,2023-05-26,cancelado,2101.66,site,não,1494,Beatriz Azevedo,beatriz.azevedo616@hotmail.com,Feira de Santana,BA,2023-08-10,B2C,paid_search
63,1591,2023-11-16,entregue,929.03,site,não,1591,Fernanda Lima,fernanda.lima929@uol.com.br,João Pessoa,PB,2023-09-06,B2C,indicação
64,2658,2023-09-22,entregue,553.35,site,não,2658,Ana Souza,ana.souza609@gmail.com,Betim,MG,2023-11-05,B2C,indicação
65,2205,2024-08-14,entregue,12901.55,site,não,2205,Igor Alves,igor.alves704@terra.com.br,Londrina,PR,2023-07-29,B2B,orgânico
66,42,2023-04-20,entregue,2029.14,marketplace,sim,42,Igor Nascimento,igor.nascimento901@gmail.com,Maceió,AL,2024-01-14,B2C,redes_sociais
67,937,2023-11-04,entregue,1807.65,app,não,937,Letícia Cavalcanti,leticia.cavalcanti69@terra.com.br,Diadema,SP,2024-12-27,B2C,paid_search
68,1590,2024-02-18,cancelado,600.79,marketplace,não,1590,Beatriz Campos,beatriz.campos29@outlook.com,Diadema,SP,2023-01-28,B2C,redes_sociais
69,1352,2024-07-17,entregue,834.85,site,não,1352,Rafael Moreira,rafael.moreira926@terra.com.br,Goiânia,GO,2024-02-14,B2C,indicação
70,1132,2024-03-06,cancelado,414.01,app,não,1132,Rafael Pinto,rafael.pinto127@yahoo.com.br,Salvador,BA,2024-10-28,B2C,redes_sociais
71,1739,2023-05-06,entregue,822.75,app,não,1739,Joana Freitas,joana.freitas97@yahoo.com.br,Salvador,BA,2024-10-01,B2C,paid_search
72,561,2023-03-20,entregue,273.25,app,sim,561,Mariana Teixeira,mariana.teixeira626@hotmail.com,Feira de Santana,BA,2024-01-03,B2C,paid_search
73,2306,2023-04-11,entregue,412.27,app,não,2306,Natália Costa,natália.costa636@hotmail.com,Florianópolis,SC,2024-08-23,B2C,orgânico
74,2751,2024-04-17,entregue,976.88,site,sim,2751,Ursula Azevedo,ursula.azevedo200@uol.com.br,Diadema,SP,2023-11-07,B2C,indicação
75,1783,2024-01-14,entregue,1172.56,app,sim,1783,Mariana Lima,mariana.lima680@hotmail.com,Ribeirão Preto,SP,2023-02-25,B2C,indicação
76,1809,2023-11-15,entregue,1265.1,site,sim,1809,Juliana Esteves,juliana.esteves654@terra.com.br,Manaus,AM,2024-01-27,B2C,orgânico
77,1080,2024-05-07,cancelado,7476.74,marketplace,não,1080,Fernanda Neves,fernanda.neves183@yahoo.com.br,Maceió,AL,2024-02-13,B2B,paid_search
78,1994,2023-08-22,entregue,488.71,marketplace,não,1994,Letícia Martins,leticia.martins636@terra.com.br,Serra,ES,2023-07-06,B2C,indicação
79,1236,2023-11-29,entregue,477.24,marketplace,sim,1236,Igor Gomes,igor.gomes582@yahoo.com.br,Ananindeua,PA,2024-09-14,B2C,redes_sociais
80,1362,2024-02-08,em_transito,2236.95,marketplace,sim,1362,Flávia Duarte,flávia.duarte266@hotmail.com,São Paulo,SP,2024-12-04,B2C,paid_search
81,1230,2024-04-04,entregue,1129.94,app,não,1230,Flávia Pinto,flávia.pinto887@hotmail.com,Cuiabá,MT,2023-08-22,B2C,paid_search
82,590,2023-03-11,entregue,865.5,marketplace,não,590,Yasmin Cavalcanti,yasmin.cavalcanti244@outlook.com,Caxias do Sul,RS,2024-12-13,B2C,orgânico
83,1643,2024-12-09,entregue,13450.19,site,não,1643,Igor Araújo,igor.araujo313@hotmail.com,Diadema,SP,2023-08-04,B2B,paid_search
84,1947,2024-02-21,entregue,1999.41,marketplace,não,1947,Renata Esteves,renata.esteves238@outlook.com,Aparecida de Goiânia,GO,2023-11-02,B2C,redes_sociais
85,1612,2023-08-28,cancelado,856.48,site,não,1612,Otávio Alves,otávio.alves109@terra.com.br,Serra,ES,2024-11-26,B2C,paid_search
86,25,2023-01-27,devolvido,1936.85,marketplace,não,25,Helena Lopes,helena.lopes66@hotmail.com,Ribeirão Preto,SP,2023-01-22,B2C,paid_search
87,344,2023-12-02,devolvido,1089.79,marketplace,sim,344,Tânia Cunha,tania.cunha7@gmail.com,Mogi das Cruzes,SP,2024-07-18,B2C,orgânico
88,786,2023-11-26,entregue,11182.81,app,não,786,Sandra Campos,sandra.campos761@hotmail.com,Campinas,SP,2023-07-29,B2B,redes_sociais
89,2048,2023-12-19,cancelado,2130.83,app,não,2048,Wanessa Ferreira,wanessa.ferreira954@yahoo.com.br,Aracaju,SE,2023-07-27,B2C,paid_search
90,989,2024-06-23,cancelado,476.89,app,sim,989,Gabriel Duarte,gabriel.duarte542@gmail.com,São Luís,MA,2023-07-16,B2C,paid_search
91,534,2023-07-31,entregue,464.88,site,não,534,Elton Pereira,elton.pereira55@outlook.com,Santos,SP,2024-08-17,B2C,orgânico
92,424,2023-11-03,devolvido,1638.58,app,não,424,Xavier Cardoso,xavier.cardoso811@yahoo.com.br,Porto Alegre,RS,2023-09-11,B2C,orgânico
93,2015,2023-11-06,cancelado,419.31,site,não,2015,Natália Fernandes,natália.fernandes707@outlook.com,São Paulo,SP,2024-03-01,B2C,redes_sociais
94,1184,2024-07-19,entregue,604.74,app,não,1184,Yara Araújo,yara.araujo906@gmail.com,São Gonçalo,RJ,2023-02-18,B2C,redes_sociais
95,1741,2023-01-09,entregue,2021.98,site,sim,1741,Sandra Vieira,sandra.vieira599@outlook.com,João Pessoa,PB,2024-01-12,B2C,redes_sociais
96,1693,2024-08-05,cancelado,2492.3,marketplace,não,1693,Helena Pereira,helena.pereira911@outlook.com,Londrina,PR,2024-05-20,B2C,paid_search
97,1629,2023-03-21,entregue,92.43,site,sim,1629,Xavier Rodrigues,xavier.rodrigues613@outlook.com,Olinda,PE,2023-03-24,B2C,redes_sociais
98,80,2023-03-24,em_transito,1130.75,app,não,80,Nelson Correia,nelson.correia28@terra.com.br,Curitiba,PR,2024-10-20,B2C,redes_sociais
99,2807,2023-11-02,entregue,3525.84,app,não,2807,Yara Martins,yara.martins921@gmail.com,Porto Alegre,RS,2024-05-30,B2B,indicação
100,1040,2024-01-21,entregue,2140.42,marketplace,não,1040,Juliana Andrade,juliana.andrade733@outlook.com,Contagem,MG,2023-11-12,B2B,orgânico
101,1142,2024-03-19,entregue,579.06,site,não,1142,Olívia Campos,olivia.campos124@gmail.com,Contagem,MG,2024-08-08,B2C,paid_search
102,1332,2023-06-10,entregue,2467.0,app,sim,1332,Diana Castro,diana.castro919@yahoo.com.br,Belém,PA,2023-08-03,B2C,paid_search
103,897,2023-08-19,entregue,420.27,site,não,897,Xênia Duarte,xenia.duarte501@hotmail.com,Feira de Santana,BA,2023-03-06,B2C,indicação
104,357,2024-08-09,devolvido,578.86,site,não,357,Bruno Fernandes,bruno.fernandes503@outlook.com,São Gonçalo,RJ,2023-12-31,B2C,redes_sociais
105,2307,2023-03-02,devolvido,1804.76,site,não,2307,Yasmin Almeida,yasmin.almeida957@terra.com.br,Serra,ES,2024-07-24,B2C,redes_sociais
106,704,2023-06-20,entregue,537.36,marketplace,não,704,Joana Almeida,joana.almeida453@gmail.com,João Pessoa,PB,2024-01-10,B2C,paid_search
107,2567,2023-01-24,entregue,,app,sim,2567,Fernanda Esteves,fernanda.esteves149@gmail.com,Cuiabá,MT,2023-02-19,B2C,paid_search
108,2029,2024-02-27,entregue,8411.78,site,não,2029,Paulo Costa,paulo.costa956@terra.com.br,Osasco,SP,2024-01-15,B2B,orgânico
109,2315,2023-06-25,entregue,489.84,marketplace,sim,2315,Ivan Andrade,ivan.andrade511@gmail.com,João Pessoa,PB,2023-11-04,B2C,orgânico
110,1226,2023-09-01,cancelado,4256.2,marketplace,não,1226,Sandra Almeida,sandra.almeida122@gmail.com,Fortaleza,CE,2024-01-04,B2B,paid_search
111,923,2023-06-10,em_transito,640.75,app,sim,923,Vera Correia,vera.correia288@gmail.com,Porto Alegre,RS,2023-04-24,B2C,redes_sociais
112,1003,2023-02-11,em_transito,2019.24,site,sim,1003,Bruno Alves,bruno.alves55@terra.com.br,Fortaleza,CE,2024-05-25,B2C,paid_search
113,465,2023-08-20,entregue,1996.65,app,não,465,Carlos Figueiredo,carlos.figueiredo632@uol.com.br,Maceió,AL,2024-10-24,B2C,redes_sociais
114,1659,2024-07-21,entregue,1964.92,marketplace,não,1659,Otávio Pereira,otávio.pereira40@terra.com.br,Guarulhos,SP,2024-12-01,B2C,redes_sociais
115,1006,2023-06-16,devolvido,1003.46,app,sim,1006,Thiago Cunha,thiago.cunha517@outlook.com,Natal,RN,2024-07-09,B2C,orgânico
116,30,2023-01-28,cancelado,2499.56,app,sim,30,Ulisses Alves,ulisses.alves413@gmail.com,Ribeirão Preto,SP,2023-04-22,B2C,paid_search
117,1104,2023-04-03,devolvido,172.1,site,não,1104,Sandra Campos,sandra.campos120@outlook.com,Serra,ES,2024-09-29,B2C,indicação
118,1609,2024-09-18,em_transito,321.22,marketplace,sim,1609,Sandra Barbosa,sandra.barbosa70@outlook.com,Florianópolis,SC,2024-01-21,B2C,paid_search
119,812,2023-11-15,entregue,4528.9,app,sim,812,Guilherme Ribeiro,guilherme.ribeiro239@uol.com.br,Campo Grande,MS,2023-07-18,B2B,orgânico
120,747,2023-10-02,entregue,531.78,marketplace,não,747,Ana Barbosa,ana.barbosa220@hotmail.com,Osasco,SP,2023-01-23,B2C,indicação
121,401,2023-07-05,entregue,1766.39,app,sim,401,Gabriel Lopes,gabriel.lopes896@yahoo.com.br,Belo Horizonte,MG,2024-04-05,B2C,orgânico
122,2960,2024-03-09,entregue,2137.03,app,não,2960,Paulo Rocha,paulo.rocha807@hotmail.com,Aparecida de Goiânia,GO,2024-05-23,B2C,paid_search
123,1570,2023-11-29,cancelado,2229.18,site,não,1570,Zacarias Gomes,zacarias.gomes103@gmail.com,João Pessoa,PB,2023-12-10,B2C,indicação
124,937,2023-11-19,cancelado,1862.31,marketplace,não,937,Letícia Cavalcanti,leticia.cavalcanti69@terra.com.br,Diadema,SP,2024-12-27,B2C,paid_search
125,563,2023-07-15,entregue,1736.98,site,não,563,Sérgio Rocha,sergio.rocha722@gmail.com,Macapá,AP,2024-08-13,B2C,paid_search
126,1302,2023-11-07,cancelado,277.91,marketplace,não,1302,Helena Fernandes,helena.fernandes351@gmail.com,Rio de Janeiro,RJ,2024-08-22,B2C,redes_sociais
127,2729,2024-06-13,entregue,1605.15,app,sim,2729,Ulisses Vieira,ulisses.vieira498@yahoo.com.br,Belo Horizonte,MG,2023-11-23,B2C,paid_search
128,520,2023-09-15,entregue,1854.65,site,não,520,Kleber Sousa,kleber.sousa851@terra.com.br,Curitiba,PR,2023-10-19,B2B,orgânico
129,1042,2024-11-22,cancelado,1363.06,app,sim,1042,Renata Andrade,renata.andrade125@terra.com.br,Mogi das Cruzes,SP,2023-08-31,B2C,redes_sociais
130,31,2024-07-09,entregue,1095.61,app,não,31,Joana Teixeira,joana.teixeira433@hotmail.com,Guarulhos,SP,2023-10-13,B2C,orgânico
131,813,2023-08-29,entregue,2465.86,site,não,813,Elton Pereira,elton.pereira869@terra.com.br,São Luís,MA,2024-09-22,B2C,redes_sociais
132,2530,2023-06-19,entregue,745.9,app,não,2530,Wanessa Castro,wanessa.castro535@gmail.com,São Luís,MA,2024-10-10,B2C,paid_search
133,2129,2024-05-30,entregue,2078.97,app,não,2129,Natália Cunha,natália.cunha398@terra.com.br,Osasco,SP,2024-04-13,B2C,paid_search
134,1314,2024-12-28,entregue,1977.68,app,sim,1314,Helena Castro,helena.castro554@terra.com.br,Maceió,AL,2023-09-07,B2C,orgânico
135,1630,2024-11-05,entregue,2312.23,marketplace,não,1630,Igor Fernandes,igor.fernandes43@terra.com.br,Manaus,AM,2023-02-06,B2C,paid_search
136,1307,2023-03-24,entregue,8554.01,marketplace,sim,1307,Wanessa Alves,wanessa.alves468@gmail.com,Cuiabá,MT,2023-05-23,B2B,orgânico
137,36,2024-06-30,cancelado,2336.55,site,não,36,Yasmin Rocha,yasmin.rocha52@gmail.com,Santos,SP,2024-05-03,B2C,paid_search
138,1229,2024-07-19,entregue,1908.38,app,não,1229,Thiago Nascimento,thiago.nascimento969@outlook.com,Cuiabá,MT,2024-08-16,B2C,orgânico
139,372,2023-06-23,entregue,705.61,site,sim,372,Nelson Azevedo,nelson.azevedo699@hotmail.com,Diadema,SP,2023-01-28,B2C,redes_sociais
140,2434,2023-11-01,cancelado,1061.24,marketplace,sim,2434,Gabriel Andrade,gabriel.andrade708@outlook.com,Rio de Janeiro,RJ,2024-09-12,B2C,indicação
141,163,2024-02-13,entregue,2082.68,site,sim,163,Helena Freitas,helena.freitas679@gmail.com,São Luís,MA,2024-10-19,B2C,orgânico
142,2379,2023-07-18,entregue,12621.33,site,não,2379,Bruno Santos,bruno.santos32@terra.com.br,Curitiba,PR,2023-11-27,B2B,orgânico
143,949,2023-02-21,entregue,636.66,marketplace,não,949,Daniela Gomes,daniela.gomes292@yahoo.com.br,Porto Velho,RO,2023-06-20,B2C,paid_search
144,728,2023-11-02,cancelado,2375.61,app,sim,728,Joana Nascimento,joana.nascimento750@yahoo.com.br,Porto Velho,RO,2023-10-09,B2C,paid_search
145,2847,2023-11-01,entregue,1230.06,marketplace,sim,2847,Sérgio Costa,sergio.costa957@terra.com.br,Rio de Janeiro,RJ,2024-12-09,B2C,indicação
146,1640,2023-11-22,entregue,2106.14,marketplace,não,1640,Guilherme Nascimento,guilherme.nascimento455@hotmail.com,João Pessoa,PB,2024-01-11,B2C,indicação
147,532,2023-08-12,entregue,14121.2,marketplace,sim,532,Xênia Cavalcanti,xenia.cavalcanti970@hotmail.com,Ribeirão Preto,SP,2024-11-01,B2B,indicação
148,935,2023-07-24,entregue,1128.39,app,não,935,Ulisses Ferreira,ulisses.ferreira902@uol.com.br,Ribeirão Preto,SP,2023-02-26,B2C,indicação
149,914,2023-07-30,cancelado,313.23,site,não,914,Elton Carvalho,elton.carvalho55@yahoo.com.br,Campinas,SP,2023-04-26,B2C,redes_sociais
150,1061,2023-04-06,entregue,14111.02,app,não,1061,Wagner Moreira,wagner.moreira434@terra.com.br,Ananindeua,PA,2023-09-20,B2B,orgânico
151,1131,2023-10-22,em_transito,515.67,site,sim,1131,Patrícia Barbosa,patricia.barbosa433@terra.com.br,Caxias do Sul,RS,2023-04-24,B2C,indicação
152,1591,2024-05-03,devolvido,1887.57,app,não,1591,Fernanda Lima,fernanda.lima929@uol.com.br,João Pessoa,PB,2023-09-06,B2C,indicação
153,1029,2023-07-04,em_transito,2052.41,marketplace,não,1029,Sandra Vieira,sandra.vieira165@terra.com.br,Natal,RN,2024-12-04,B2C,redes_sociais
154,1939,2023-12-15,entregue,1120.21,site,não,1939,Zacarias Gomes,zacarias.gomes965@uol.com.br,Olinda,PE,2024-03-10,B2C,indicação
155,2026,2024-08-01,entregue,1752.41,site,sim,2026,Hanna Rodrigues,hanna.rodrigues189@hotmail.com,Campinas,SP,2023-12-10,B2C,redes_sociais
156,2296,2023-11-12,entregue,7695.05,app,sim,2296,Ana Cardoso,ana.cardoso337@gmail.com,Maceió,AL,2024-05-06,B2B,paid_search
157,1374,2024-05-28,entregue,1138.13,app,não,1374,Ulisses Lopes,ulisses.lopes872@uol.com.br,Recife,PE,2023-10-25,B2C,indicação
158,1471,2024-07-02,cancelado,5988.25,app,não,1471,Leonardo Ferreira,leonardo.ferreira97@outlook.com,Porto Velho,RO,2023-11-18,B2B,indicação
159,2326,2023-11-23,entregue,1303.82,app,não,2326,Ulisses Araújo,ulisses.araujo591@yahoo.com.br,Campinas,SP,2024-05-19,B2C,orgânico
160,2675,2023-11-01,entregue,1267.12,marketplace,sim,2675,Otávio Castro,otávio.castro234@yahoo.com.br,Londrina,PR,2023-12-21,B2C,redes_sociais
161,1974,2023-10-02,entregue,1823.5,site,sim,1974,Beatriz Ribeiro,beatriz.ribeiro595@uol.com.br,Cuiabá,MT,2024-10-04,B2C,redes_sociais
162,2472,2023-11-26,entregue,1348.07,site,sim,2472,Hanna Oliveira,hanna.oliveira442@gmail.com,Teresina,PI,2023-10-19,B2C,paid_search
163,1249,2024-10-25,entregue,261.84,marketplace,sim,1249,Patrícia Costa,patricia.costa904@yahoo.com.br,Mogi das Cruzes,SP,2023-10-26,B2C,orgânico
164,2141,2023-08-06,entregue,11052.25,app,sim,2141,Marcos Lopes,marcos.lopes459@terra.com.br,São Paulo,SP,2024-10-27,B2B,redes_sociais
165,2670,2023-12-26,entregue,1052.81,app,não,2670,Fernanda Andrade,fernanda.andrade835@uol.com.br,Natal,RN,2024-06-30,B2C,redes_sociais
166,1589,2024-02-18,em_transito,2256.28,marketplace,não,1589,Vera Rocha,vera.rocha958@uol.com.br,Aracaju,SE,2024-04-24,B2C,redes_sociais
167,1217,2023-03-31,entregue,1308.3,marketplace,não,1217,Tânia Figueiredo,tania.figueiredo172@gmail.com,Caxias do Sul,RS,2024-02-02,B2C,indicação
168,245,2024-05-01,entregue,2112.51,marketplace,sim,245,Sérgio Andrade,sergio.andrade393@yahoo.com.br,Betim,MG,2023-02-03,B2C,redes_sociais
169,1371,2023-11-15,entregue,80.47,marketplace,não,1371,Patrícia Araújo,patricia.araujo624@terra.com.br,Belo Horizonte,MG,2024-09-13,B2C,paid_search
170,1755,2023-11-29,entregue,642.51,site,sim,1755,Olívia Fernandes,olivia.fernandes663@gmail.com,Teresina,PI,2024-10-19,B2C,orgânico
171,2086,2023-01-28,entregue,3559.36,app,não,2086,Vinicius Moreira,vinicius.moreira153@terra.com.br,Cuiabá,MT,2024-01-10,B2B,paid_search
172,493,2023-05-19,entregue,2223.0,site,não,493,Patrícia Alves,patricia.alves403@gmail.com,Betim,MG,2024-07-16,B2C,paid_search
173,1152,2024-09-21,cancelado,1146.74,site,não,1152,Mariana Araújo,mariana.araujo769@hotmail.com,Florianópolis,SC,2024-05-29,B2C,orgânico
